lig1,lig2,Label,Label1,Label2,dir_1,dir_2,pred_delta_pIC50
norepinephrine_alpha2A,norepinephrine_alpha2A,0.0,0.0,0.0,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_alpha2A.pkl,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_alpha2A.pkl,-0.07973191142082214
norepinephrine_alpha2A,norepinephrine_generic,0.0,0.0,0.0,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_alpha2A.pkl,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_generic.pkl,0.5309968590736389
norepinephrine_alpha2A,epinephrine_generic,0.0,0.0,0.0,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_alpha2A.pkl,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/epinephrine_generic.pkl,-0.9078861474990845
norepinephrine_generic,norepinephrine_alpha2A,0.0,0.0,0.0,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_generic.pkl,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_alpha2A.pkl,-0.7561199069023132
norepinephrine_generic,norepinephrine_generic,0.0,0.0,0.0,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_generic.pkl,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_generic.pkl,-0.07973191142082214
norepinephrine_generic,epinephrine_generic,0.0,0.0,0.0,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_generic.pkl,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/epinephrine_generic.pkl,-1.051960825920105
epinephrine_generic,norepinephrine_alpha2A,0.0,0.0,0.0,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/epinephrine_generic.pkl,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_alpha2A.pkl,0.8949988484382629
epinephrine_generic,norepinephrine_generic,0.0,0.0,0.0,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/epinephrine_generic.pkl,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/norepinephrine_generic.pkl,1.059817910194397
epinephrine_generic,epinephrine_generic,0.0,0.0,0.0,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/epinephrine_generic.pkl,/mnt/c/Users/jihun/python_practices/pbcnet/PBCNet2.0/case/alpha2A_norepi/epinephrine_generic.pkl,-0.07973191887140274
