lig1,lig2,Label,Label1,Label2,dir_1,dir_2,pred_delta_pIC50
alpha2A_norepi,beta1_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,-1.419331669807434
alpha2A_norepi,beta1_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,-0.9032647013664246
alpha2A_norepi,beta2_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta2_epi/epinephrine.pkl,-1.3889023065567017
alpha2A_norepi,beta3_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta3_epi/epinephrine.pkl,-0.6812235713005066
alpha2A_norepi,alpha2A_epi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/epinephrine.pkl,-1.0649863481521606
alpha2A_norepi,alpha2A_norepi_docked,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_docked_ref/norepinephrine.pkl,-0.3200021088123321
beta1_epi,alpha1A_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_epi/epinephrine.pkl,0.8906676173210144
beta1_epi,alpha1A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha1A_norepi/norepinephrine.pkl,1.1852177381515503
beta1_epi,alpha2A_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/alpha2A_norepi/norepinephrine.pkl,1.4007796049118042
beta1_epi,beta1_epi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,-0.0797041282057762
beta1_epi,beta1_norepi,0.0,0.0,0.0,/home/user/PBCNet2.0/case/adr_selectivity/beta1_epi/epinephrine.pkl,/home/user/PBCNet2.0/case/adr_selectivity/beta1_norepi/norepinephrine.pkl,1.7434364557266235
